house,mp_key,allocated_amount,state,constituency,elected_nominated
Lok Sabha,LS_LALJI_VERMA,147000000.0,Uttar Pradesh,AMBEDKAR NAGAR,
Lok Sabha,LS_LAVU_SRI_KRISHNA_DEVARAYALU,174009663.11,Andhra Pradesh,NARASARAOPET,
Lok Sabha,LS_LAXMIKANT_PAPPU_NISHAD,147000000.0,Uttar Pradesh,SANT KABIR NAGAR,
Lok Sabha,LS_LOVELY_ANAND,147000000.0,Bihar,SHEOHAR,
Lok Sabha,LS_LUMBARAM,147000000.0,Rajasthan,JALORE,
Lok Sabha,LS_M_MALLESH_BABU,147065957.11,Karnataka,KOLAR(SC),
Lok Sabha,LS_M_K_VISHNUPRASAD,147000000.0,Tamil Nadu,CUDDALORE,
Lok Sabha,LS_MADDILA_GURUMOORTHY,180399007.0,Andhra Pradesh,TIRUPATI(SC),
Lok Sabha,LS_MADHAVANENI_RAGHUNANDAN_RAO,147000000.0,Telangana,MEDAK,
Lok Sabha,LS_MAGUNTA_SREENIVASULU_REDDY,147000000.0,Andhra Pradesh,ONGOLE,
Lok Sabha,LS_MAHENDRA_SINGH_SOLANKY,147000000.0,Madhya Pradesh,DEWAS(SC),
Lok Sabha,LS_MAHESH_KASHYAP,147000000.0,Chhattisgarh,BASTAR(ST),
Lok Sabha,LS_MAHESH_SHARMA,148816284.11,Uttar Pradesh,GAUTAM BUDDHA NAGAR,
Lok Sabha,LS_MAHIMA_KUMARI_MEWAR,183892143.0,Rajasthan,RAJSAMAND,
