mp_key,house,mp_name_raw,mp_name_normalized,state,constituency,elected_nominated
LS_BIDYUT_BARAN_MAHATO,Lok Sabha,Bidyut Baran Mahato,BIDYUT BARAN MAHATO,Jharkhand,JAMSHEDPUR,
LS_BIJULI_KALITA_MEDHI,Lok Sabha,BIJULI KALITA MEDHI,BIJULI KALITA MEDHI,Assam,GUWAHATI,
LS_BIPLAB_KUMAR_DEB,Lok Sabha,BIPLAB KUMAR DEB,BIPLAB KUMAR DEB,Tripura,TRIPURA WEST,
LS_BISHNU_PADA_RAY,Lok Sabha,BISHNU PADA RAY,BISHNU PADA RAY,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,
LS_BRIJENDRA_SINGH_OLA,Lok Sabha,BRIJENDRA SINGH OLA,BRIJENDRA SINGH OLA,Rajasthan,JHUNJHUNU,
LS_BRIJMOHAN_AGRAWAL,Lok Sabha,BRIJMOHAN AGRAWAL,BRIJMOHAN AGRAWAL,Chhattisgarh,RAIPUR,
LS_BUNTY_VIVEK_SAHU,Lok Sabha,BUNTY VIVEK SAHU,BUNTY VIVEK SAHU,Madhya Pradesh,CHHINDWARA,
LS_C_R_PATIL,Lok Sabha,C R Patil,C R PATIL,Gujarat,NAVSARI,
LS_C_M_RAMESH,Lok Sabha,C.M.RAMESH,C.M.RAMESH,Andhra Pradesh,ANAKAPALLE,
LS_CAPTAIN_BRIJESH_CHOWTA,Lok Sabha,CAPTAIN BRIJESH CHOWTA,CAPTAIN BRIJESH CHOWTA,Karnataka,DAKSHINA KANNADA,
LS_CAPTAIN_VIRIATO_FERNANDES,Lok Sabha,CAPTAIN VIRIATO FERNANDES,CAPTAIN VIRIATO FERNANDES,Goa,SOUTH GOA,
LS_CHAMALA_KIRAN_KUMAR_REDDY,Lok Sabha,CHAMALA KIRAN KUMAR REDDY,CHAMALA KIRAN KUMAR REDDY,Telangana,BHONGIR,
LS_CHANDAN_CHAUHAN,Lok Sabha,CHANDAN CHAUHAN,CHANDAN CHAUHAN,Uttar Pradesh,BIJNOR,
LS_CHANDRA_PRAKASH_JOSHI,Lok Sabha,Chandra Prakash Joshi,CHANDRA PRAKASH JOSHI,Rajasthan,CHITTORGARH,
LS_CHANDRA_SHEKHAR,Lok Sabha,CHANDRA SHEKHAR,CHANDRA SHEKHAR,Uttar Pradesh,NAGINA(SC),
LS_CHANDUBHAI_CHHAGANBHAI_SHIHORA,Lok Sabha,CHANDUBHAI CHHAGANBHAI SHIHORA,CHANDUBHAI CHHAGANBHAI SHIHORA,Gujarat,SURENDRANAGAR,
LS_CHARANJIT_SINGH_CHANNI,Lok Sabha,CHARANJIT SINGH CHANNI,CHARANJIT SINGH CHANNI,Punjab,JALANDHAR(SC),
LS_CHAVAN_VASANTRAO_BALWANTRAO,Lok Sabha,CHAVAN VASANTRAO BALWANTRAO,CHAVAN VASANTRAO BALWANTRAO,Maharashtra,NANDED,
LS_CHHATRA_PAL_SINGH_GANGWAR,Lok Sabha,CHHATRA PAL SINGH GANGWAR,CHHATRA PAL SINGH GANGWAR,Uttar Pradesh,BAREILLY,
LS_CHHATRAPATI_SHAHU_SHAHAJI,Lok Sabha,CHHATRAPATI SHAHU SHAHAJI,CHHATRAPATI SHAHU SHAHAJI,Maharashtra,KOLHAPUR,
LS_CHHOTELAL,Lok Sabha,CHHOTELAL,CHHOTELAL,Uttar Pradesh,ROBERTSGANJ(SC),
LS_CHINTAMANI_MAHARAJ,Lok Sabha,CHINTAMANI MAHARAJ,CHINTAMANI MAHARAJ,Chhattisgarh,SARGUJA(ST),
LS_CHIRAG_PASWAN,Lok Sabha,CHIRAG PASWAN,CHIRAG PASWAN,Bihar,HAJIPUR(SC),
