mp_key,house,mp_name_raw,mp_name_normalized,state,constituency,elected_nominated
LS_MANSUKH_MANDAVIYA,Lok Sabha,DR. MANSUKH MANDAVIYA,MANSUKH MANDAVIYA,Gujarat,PORBANDAR,
LS_PRABHA_MALLIKARJUN,Lok Sabha,DR. PRABHA MALLIKARJUN,PRABHA MALLIKARJUN,Karnataka,DAVANAGERE,
LS_PRADEEP_KUMAR_PANIGRAHY,Lok Sabha,DR. PRADEEP KUMAR PANIGRAHY,PRADEEP KUMAR PANIGRAHY,Odisha,BERHAMPUR,
LS_PRASHANT_YADAORAO_PADOLE,Lok Sabha,DR. PRASHANT YADAORAO PADOLE,PRASHANT YADAORAO PADOLE,Maharashtra,BHANDARA-GONDIYA,
LS_RAJ_KUMAR_CHABBEWAL,Lok Sabha,DR. RAJ KUMAR CHABBEWAL,RAJ KUMAR CHABBEWAL,Punjab,HOSHIARPUR(SC),
LS_RAJESH_MISHRA,Lok Sabha,DR. RAJESH MISHRA,RAJESH MISHRA,Madhya Pradesh,SIDHI,
LS_S_P_SINGH,Lok Sabha,DR. S P SINGH,S P SINGH,Uttar Pradesh,PRATAPGARH,
LS_SHARMILA_SARKAR,Lok Sabha,DR. SHARMILA SARKAR,SHARMILA SARKAR,West Bengal,BARDHAMAN PURBA(SC),
LS_DR_K_SUDHAKAR,Lok Sabha,DR.K.SUDHAKAR,DR.K.SUDHAKAR,Karnataka,CHIKBALLAPUR,
LS_DR_MALLU_RAVI,Lok Sabha,DR.MALLU RAVI,DR.MALLU RAVI,Telangana,NAGARKURNOOL(SC),
LS_DULU_MAHATO,Lok Sabha,DULU MAHATO,DULU MAHATO,Jharkhand,DHANBAD,
LS_DURAI_VAIKO,Lok Sabha,DURAI VAIKO,DURAI VAIKO,Tamil Nadu,TIRUCHIRAPPALLI,
LS_DURGA_DAS_UIKEY,Lok Sabha,Durga Das Uikey,DURGA DAS UIKEY,Madhya Pradesh,BETUL(ST),
LS_DUSHYANT_SINGH,Lok Sabha,Dushyant Singh,DUSHYANT SINGH,Rajasthan,JHALAWAR-BARAN,
LS_E_TUKARAM,Lok Sabha,E. TUKARAM,E. TUKARAM,Karnataka,BELLARY(ST),
LS_E_T_MOHAMMED_BASHEER,Lok Sabha,E.T. MOHAMMED BASHEER,E.T. MOHAMMED BASHEER,Kerala,MALAPPURAM,
LS_EATALA_RAJENDER,Lok Sabha,EATALA RAJENDER,EATALA RAJENDER,Telangana,MALKAJGIRI,
LS_ESWARASAMY_K,Lok Sabha,ESWARASAMY K,ESWARASAMY K,Tamil Nadu,POLLACHI,
LS_FAGGAN_SINGH_KULASTE,Lok Sabha,Faggan Singh Kulaste,FAGGAN SINGH KULASTE,Madhya Pradesh,MANDLA(ST),
LS_G_KUMAR_NAIK,Lok Sabha,G. KUMAR NAIK,G. KUMAR NAIK,Karnataka,RAICHUR(ST),
LS_GAIKWAD_VARSHA_EKNATH,Lok Sabha,GAIKWAD VARSHA EKNATH,GAIKWAD VARSHA EKNATH,Maharashtra,MUMBAI NORTH-CENTRAL,
LS_GAJENDRA_SINGH_PATEL,Lok Sabha,Gajendra Singh Patel,GAJENDRA SINGH PATEL,Madhya Pradesh,KHARGONE(ST),
LS_GAJENDRA_SINGH_SHEKHAWAT,Lok Sabha,Gajendra Singh Shekhawat,GAJENDRA SINGH SHEKHAWAT,Rajasthan,JODHPUR,
LS_GANAPATHY_RAJKUMAR_P,Lok Sabha,GANAPATHY RAJKUMAR P,GANAPATHY RAJKUMAR P,Tamil Nadu,COIMBATORE,
LS_GANESAN_SELVAM,Lok Sabha,Ganesan Selvam,GANESAN SELVAM,Tamil Nadu,KANCHEEPURAM(SC),
LS_GANESH_SINGH,Lok Sabha,Ganesh Singh,GANESH SINGH,Madhya Pradesh,SATNA,
LS_GAURAV_GOGOI,Lok Sabha,GAURAV GOGOI,GAURAV GOGOI,Assam,JORHAT,
LS_GENIBEN_NAGAJI_THAKOR,Lok Sabha,GENIBEN NAGAJI THAKOR,GENIBEN NAGAJI THAKOR,Gujarat,BANASKANTHA,
LS_GIRIDHARI_YADAV,Lok Sabha,Giridhari Yadav,GIRIDHARI YADAV,Bihar,BANKA,
LS_GIRIRAJ_SINGH,Lok Sabha,Giriraj Singh,GIRIRAJ SINGH,Bihar,BEGUSARAI,
LS_GM_HARISH_BALAYOGI,Lok Sabha,GM Harish Balayogi,GM HARISH BALAYOGI,Andhra Pradesh,AMALAPURAM(SC),
LS_GODAM_NAGESH,Lok Sabha,GODAM NAGESH,GODAM NAGESH,Telangana,ADILABAD(ST),
LS_GOPINATH_K,Lok Sabha,GOPINATH K,GOPINATH K,Tamil Nadu,KRISHNAGIRI,
