work_id,anomaly_score,payment_anomaly_score,payment_anomaly_flag,payment_count,execution_anomaly_score,execution_anomaly_flag,consistency_review_flag,payment_exceeds_sanction_flag,execution_anomaly_reason,payment_data_available,financial_risk_0_100,payment_risk_0_100,execution_risk_0_100,combined_base_risk,final_risk_score,risk_level,investigation_priority
WS/MP18023/2026-2027/292169,0.7167578117124996,0.5074873499747466,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.7027378097522,93.48823866896157,0,96.59548823935688,96.59548823935688,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP831/2026-2027/293345,0.7167578117124996,0.5074873499747466,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.7027378097522,93.48823866896157,0,96.59548823935688,96.59548823935688,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP831/2026-2027/293346,0.7167578117124996,0.5074873499747466,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.7027378097522,93.48823866896157,0,96.59548823935688,96.59548823935688,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP201/2026-2027/285918,0.7166548894558267,0.6818815443038575,1,4,0,0,0,0,No execution anomaly or consistency issue detected,1,99.69024780175859,99.91394148020653,0,99.80209464098256,99.80209464098256,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18382/2026-2027/221599,0.7162507287493268,0.475075973395456,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.68525179856115,85.4417670682731,0,92.56350943341712,92.56350943341712,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP073/2026-2027/304300,0.7152516881312142,0.5112827227907548,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.6802557953637,94.21973608720596,0,96.94999594128484,96.94999594128484,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18008/2026-2027/166546,0.7144730858707051,0.485347667877675,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.67525979216627,89.52954675846242,0,94.60240327531434,94.60240327531434,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP073/2026-2027/304307,0.7139623729142851,0.5158083223595203,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.67026378896882,95.18072289156626,0,97.42549334026754,97.42549334026754,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP710/2026-2027/196131,0.7134466748662582,0.527106912078794,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.66526778577138,96.44291451520367,0,98.05409115048752,98.05409115048752,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP166/2026-2027/181930,0.7124774391895248,0.4897128669173333,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.66027178257394,90.56224899598394,0,95.11126038927894,95.11126038927894,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP181/2026-2027/301199,0.7120196529808902,0.5076876317069017,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.6552757793765,93.57429718875501,0,96.61478648406575,96.61478648406575,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18017/2026-2027/278187,0.7119087187160111,0.4914969179932726,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.65027977617905,90.80608146873207,0,95.22818062245557,95.22818062245557,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18019/2026-2027/139500,0.7104935708886803,0.5802268134277738,0,2,0,0,0,0,No execution anomaly or consistency issue detected,1,99.64528377298161,99.08204245553644,0,99.36366311425903,99.36366311425903,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP672/2026-2027/291742,0.7102952734903785,0.4684190079976507,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.64028776978418,82.88869764773379,0,91.26449270875898,91.26449270875898,HIGH,HIGH_REVIEW
WS/MP18043/2026-2027/281457,0.7079923742289104,0.485238220356542,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.63279376498801,89.48651749856569,0,94.55965563177685,94.55965563177685,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP834/2026-2027/287989,0.7079923742289104,0.4998106694740321,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.63279376498801,92.29776247848537,0,95.96527812173669,95.96527812173669,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP831/2026-2027/244806,0.705798374641637,0.4622883920340904,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.62529976019184,79.84796328169821,0,89.73663152094502,89.73663152094502,HIGH,HIGH_REVIEW
WS/MP18049/2026-2027/273879,0.7055812827880737,0.4874095930618909,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.6203037569944,89.97418244406197,0,94.79724310052819,94.79724310052819,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18017/2026-2027/278180,0.7043421895552459,0.487949139902803,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.61530775379697,90.18932874354562,0,94.90231824867129,94.90231824867129,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP166/2026-2027/134188,0.7035082560565333,0.485347667877675,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.61031175059952,89.52954675846242,0,94.56992925453096,94.56992925453096,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18287/2026-2027/159775,0.7033644369625466,0.5366667104343352,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.60531574740207,97.10269650028687,0,98.35400612384447,98.35400612384447,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP755/2026-2027/179976,0.7021883195865578,0.4815803819729305,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.60031974420464,88.03786574870912,0,93.81909274645687,93.81909274645687,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18431/2026-2027/286033,0.7020604585573705,0.4910588487868737,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.59282573940847,90.71285140562249,0,95.15283857251548,95.15283857251548,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18431/2026-2027/286034,0.7020604585573705,0.4910588487868737,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.59282573940847,90.71285140562249,0,95.15283857251548,95.15283857251548,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18019/2026-2027/216141,0.7019777155605522,0.5425924729409065,0,2,0,0,0,0,No execution anomaly or consistency issue detected,1,99.58533173461231,97.48995983935743,0,98.53764578698487,98.53764578698487,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18392/2026-2027/267766,0.7017975850094984,0.4903054625886323,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.58033573141488,90.63396442914515,0,95.10715008028001,95.10715008028001,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP166/2026-2027/213255,0.6997069653690515,0.5021729168964606,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.57533972821743,92.64199655765921,0,96.10866814293831,96.10866814293831,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18371/2026-2027/293792,0.6995211150030297,0.5565859744461562,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.56534772182253,98.32185886402753,0,98.94360329292503,98.94360329292503,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18363/2026-2027/220694,0.6995211150030297,0.4831224456959483,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.56534772182253,88.74067699368904,0,94.15301235775578,94.15301235775578,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP113/2026-2027/279994,0.6995211150030297,0.48432007656393,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.56534772182253,89.19965576592082,0,94.38250174387167,94.38250174387167,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18093/2026-2027/257152,0.6994975875601499,0.5262129243675852,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.55285771382893,96.32816982214572,0,97.94051376798733,97.94051376798733,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP092/2026-2027/275433,0.6994975875601499,0.6823730461355085,1,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.55285771382893,99.92828456683878,0,99.74057114033386,99.74057114033386,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18382/2026-2027/220346,0.6987324046829895,0.4792486300272922,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.54536370903277,87.16293746414229,0,93.35415058658754,93.35415058658754,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18185/2026-2027/247578,0.6986924445780884,0.5229535599877573,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.54036770583534,95.94090648307517,0,97.74063709445525,97.74063709445525,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP139/2026-2027/134712,0.6975243094009377,0.464324712927716,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.53537170263789,80.59380378657487,0,90.06458774460637,90.06458774460637,HIGH,HIGH_REVIEW
WS/MP18008/2026-2027/254608,0.6961704200475544,0.512640650645797,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.53037569944044,94.42053930005737,0,96.9754574997489,96.9754574997489,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18302/2026-2027/277424,0.6956430286997596,0.4822689092999805,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.52537969624301,88.45381526104418,0,93.98959747864359,93.98959747864359,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18186/2026-2027/212286,0.6955371982392883,0.4697210209424927,0,2,0,0,0,0,No execution anomaly or consistency issue detected,1,99.52038369304557,83.43373493975903,0,91.4770593164023,91.4770593164023,HIGH,HIGH_REVIEW
WS/MP18233/2026-2027/274634,0.6947023401934822,0.5376407558127491,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.51538768984813,97.20309810671256,0,98.35924289828034,98.35924289828034,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18312/2026-2027/157891,0.6944087387270753,0.4802333869093071,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.51039168665068,87.55020080321285,0,93.53029624493176,93.53029624493176,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18265/2026-2027/222988,0.6918286795714921,0.461015206065778,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.50539568345323,79.69018932874354,0,89.59779250609839,89.59779250609839,HIGH,HIGH_REVIEW
WS/MP18246/2026-2027/248053,0.6902726173228075,0.5400965507965643,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.5003996802558,97.34652897303499,0,98.42346432664539,98.42346432664539,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP233/2026-2027/281641,0.6901620412446421,0.5049974358142955,0,2,0,0,0,0,No execution anomaly or consistency issue detected,1,99.49290567545962,92.9073436603557,0,96.20012466790766,96.20012466790766,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP233/2026-2027/281649,0.6901620412446421,0.5049974358142955,0,2,0,0,0,0,No execution anomaly or consistency issue detected,1,99.49290567545962,92.9073436603557,0,96.20012466790766,96.20012466790766,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18165/2026-2027/230338,0.6889775138268841,0.5280947242519739,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.48541167066347,96.51462994836488,0,98.00002080951418,98.00002080951418,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18215/2026-2027/271259,0.688882623917199,0.5174024917812592,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.48041566746603,95.43889845094664,0,97.45965705920634,97.45965705920634,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18346/2026-2027/276401,0.6881226553975957,0.5725626052202755,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.47541966426859,98.75215146299485,0,99.11378556363172,99.11378556363172,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18215/2026-2027/271463,0.6881081501200552,0.5128652353344827,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.47042366107114,94.43488238668961,0,96.95265302388037,96.95265302388037,VERY_HIGH,VERY_HIGH_REVIEW
WS/MP18367/2026-2027/268504,0.6880081963194707,0.4681311141603113,0,1,0,0,0,0,No execution anomaly or consistency issue detected,1,99.4654276578737,82.75960986804361,0,91.11251876295866,91.11251876295866,HIGH,HIGH_REVIEW
